"","Phylum","Class","Order","Family","Genus","Species","OTU"
"JRJTB:01654:02609","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae",NA,NA,"JRJTB:01654:02609"
"JRJTB:01655:00424","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__[Eubacterium] coprostanoligenes group","D_6__uncultured bacterium","JRJTB:01655:00424"
"JRJTB:01655:00574","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__[Eubacterium] coprostanoligenes group","D_6__uncultured bacterium","JRJTB:01655:00574"
"JRJTB:01655:00683","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 5","D_6__uncultured bacterium","JRJTB:01655:00683"
"JRJTB:01655:02134","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","JRJTB:01655:02134"
"JRJTB:01655:02389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","JRJTB:01655:02389"
"JRJTB:01655:02994","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhodospirillales","D_4__uncultured",NA,NA,"JRJTB:01655:02994"
"JRJTB:01656:02142","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-005","D_6__uncultured bacterium","JRJTB:01656:02142"
"JRJTB:01656:02985","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","JRJTB:01656:02985"
"JRJTB:01656:03298","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Tannerellaceae","D_5__Parabacteroides",NA,"JRJTB:01656:03298"
"JRJTB:01658:02418","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Lactococcus",NA,"JRJTB:01658:02418"
"JRJTB:01658:03312","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Holdemania","Ambiguous_taxa","JRJTB:01658:03312"
"JRJTB:01659:00840","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__[Eubacterium] coprostanoligenes group","D_6__uncultured bacterium","JRJTB:01659:00840"
"JRJTB:01659:01364","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Erysipelotrichaceae UCG-003","D_6__uncultured bacterium","JRJTB:01659:01364"
"JRJTB:01659:01861","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidaceae","D_5__Bacteroides","D_6__uncultured bacterium","JRJTB:01659:01861"
"JRJTB:01660:00272","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","JRJTB:01660:00272"
"JRJTB:01660:00510","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Burkholderiaceae","D_5__Parasutterella",NA,"JRJTB:01660:00510"
"JRJTB:01660:00668","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Prevotellaceae","D_5__Alloprevotella",NA,"JRJTB:01660:00668"
"JRJTB:01660:01962","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","JRJTB:01660:01962"
"JRJTB:01660:02305","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","JRJTB:01660:02305"
"JRJTB:01662:00306","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 9","D_6__uncultured bacterium","JRJTB:01662:00306"
"JRJTB:01662:01190","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Lactococcus","D_6__uncultured bacterium","JRJTB:01662:01190"
"JRJTB:01662:02816","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Muribaculaceae","D_5__uncultured bacterium","D_6__uncultured bacterium","JRJTB:01662:02816"
"JRJTB:01662:03113","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Muribaculaceae","D_5__uncultured bacterium","D_6__uncultured bacterium","JRJTB:01662:03113"
"JRJTB:01663:00594","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","JRJTB:01663:00594"
"JRJTB:01664:00310","D_1__Verrucomicrobia","D_2__Verrucomicrobiae","D_3__Verrucomicrobiales","D_4__Akkermansiaceae","D_5__Akkermansia",NA,"JRJTB:01664:00310"
"JRJTB:01665:01434","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Eisenbergiella","D_6__uncultured bacterium","JRJTB:01665:01434"
"JRJTB:01666:01421","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae",NA,NA,"JRJTB:01666:01421"
"JRJTB:01666:02158","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__[Eubacterium] coprostanoligenes group","D_6__uncultured bacterium","JRJTB:01666:02158"
"JRJTB:01667:00572","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Muribaculaceae","D_5__uncultured bacterium","D_6__uncultured bacterium","JRJTB:01667:00572"
"JRJTB:01667:00590","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Tannerellaceae","D_5__Parabacteroides",NA,"JRJTB:01667:00590"
"JRJTB:01667:00651","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Peptococcaceae","D_5__uncultured","D_6__uncultured bacterium","JRJTB:01667:00651"
"JRJTB:01667:00804","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae NK4A214 group","D_6__uncultured bacterium","JRJTB:01667:00804"
"JRJTB:01668:02307","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","JRJTB:01668:02307"
"JRJTB:01669:01190","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","JRJTB:01669:01190"
"JRJTB:01669:01222","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidaceae","D_5__Bacteroides",NA,"JRJTB:01669:01222"
