"","Phylum","Class","Order","Family","Genus","Species","OTU"
"EU503830.1.1401","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Oscillibacter","D_6__uncultured bacterium","EU503830.1.1401"
"EU504241.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","EU504241.1.1389"
"EU506277.1.1401","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcus 1","D_6__uncultured bacterium","EU506277.1.1401"
"EU506577.1.1389","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Erysipelatoclostridium","D_6__uncultured bacterium","EU506577.1.1389"
"EU506605.1.1389","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Faecalibaculum","D_6__uncultured bacterium","EU506605.1.1389"
"EU506648.1.1401","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 9","D_6__uncultured bacterium","EU506648.1.1401"
"EU506868.1.1400","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Oscillibacter","D_6__uncultured bacterium","EU506868.1.1400"
"EU507285.1.1389","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Muribaculaceae","D_5__uncultured bacterium","D_6__uncultured bacterium","EU507285.1.1389"
"EU507309.1.1391","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Peptostreptococcaceae","D_5__Romboutsia","D_6__uncultured bacterium","EU507309.1.1391"
"EU507426.1.1401","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__uncultured","D_6__uncultured bacterium","EU507426.1.1401"
"EU507494.1.1401","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 9","D_6__uncultured bacterium","EU507494.1.1401"
"EU507752.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","EU507752.1.1389"
"EU508201.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","EU508201.1.1389"
"EU508585.1.1401","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Oscillibacter","D_6__uncultured bacterium","EU508585.1.1401"
"EU509206.1.1393","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium","D_6__uncultured bacterium","EU509206.1.1393"
"EU510149.1.1401","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__uncultured","D_6__uncultured bacterium","EU510149.1.1401"
"EU510288.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","EU510288.1.1389"
"EU510534.1.1401","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium","D_6__uncultured bacterium","EU510534.1.1401"
"EU510610.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","D_6__uncultured bacterium","EU510610.1.1389"
"EU511173.1.1401","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Oscillibacter","D_6__uncultured bacterium","EU511173.1.1401"
"EU511881.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","EU511881.1.1389"
"EU511947.1.1400","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__uncultured","D_6__uncultured bacterium","EU511947.1.1400"
"EU771878.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-008","D_6__uncultured bacterium","EU771878.1.1389"
"EU771961.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","EU771961.1.1389"
"EU774623.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","EU774623.1.1389"
"EU776698.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","EU776698.1.1389"
"EU778904.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","EU778904.1.1389"
"EU779324.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","EU779324.1.1389"
"FJ504583.1.1389","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__uncultured bacterium","FJ504583.1.1389"
"FJ679915.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","FJ679915.1.1389"
"FJ685179.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Roseburia","D_6__uncultured bacterium","FJ685179.1.1389"
"HQ754571.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnoclostridium","D_6__uncultured organism","HQ754571.1.1389"
"JX048305.1.1389","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Erysipelatoclostridium","D_6__bacterium NLAE-zl-G264","JX048305.1.1389"
"KC734215.1.1389","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__bacterium 28W121","KC734215.1.1389"
"KF842218.1.1389","D_1__Verrucomicrobia","D_2__Verrucomicrobiae","D_3__Verrucomicrobiales","D_4__Akkermansiaceae","D_5__Akkermansia","D_6__uncultured bacterium","KF842218.1.1389"
"KT350423.1.1389","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Micrococcales","D_4__Micrococcaceae","D_5__Rothia","D_6__Rothia sp. MJAU D0013","KT350423.1.1389"
"KT985435.1.1389","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Lactococcus","D_6__uncultured bacterium","KT985435.1.1389"
"KU899027.1.1389","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Lactococcus","D_6__Lactococcus lactis","KU899027.1.1389"
"AB062828.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 9","D_6__uncultured bacterium","AB062828.1.1388"
"AY916151.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","AY916151.1.1388"
"DQ798924.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","DQ798924.1.1388"
"DQ799804.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-008","D_6__uncultured bacterium","DQ799804.1.1388"
"DQ804932.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-008","D_6__uncultured bacterium","DQ804932.1.1388"
"DQ809659.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 5","D_6__uncultured bacterium","DQ809659.1.1388"
"DQ809709.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Marvinbryantia","D_6__uncultured bacterium","DQ809709.1.1388"
"DQ824305.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Fusicatenibacter","D_6__uncultured bacterium","DQ824305.1.1388"
"DQ825288.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Fusicatenibacter","D_6__uncultured bacterium","DQ825288.1.1388"
"EF098104.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","EF098104.1.1388"
"EF098107.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","EF098107.1.1388"
"EF098283.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","EF098283.1.1388"
"EF099047.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","EF099047.1.1388"
"EU451017.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","EU451017.1.1388"
"EU463513.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__[Eubacterium] coprostanoligenes group","D_6__uncultured bacterium","EU463513.1.1388"
"EU469466.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Fusicatenibacter","D_6__uncultured bacterium","EU469466.1.1388"
"EU475634.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Peptostreptococcaceae","D_5__uncultured","D_6__uncultured bacterium","EU475634.1.1388"
"EU504316.1.1388","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Faecalibaculum","D_6__uncultured bacterium","EU504316.1.1388"
"EU504351.1.1400","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium","D_6__uncultured bacterium","EU504351.1.1400"
"EU505076.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Oscillibacter","D_6__uncultured bacterium","EU505076.1.1388"
"EU505234.1.1399","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Oscillibacter","D_6__uncultured bacterium","EU505234.1.1399"
"EU506261.1.1400","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Oscillibacter","D_6__uncultured bacterium","EU506261.1.1400"
"EU506662.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__uncultured","D_6__uncultured bacterium","EU506662.1.1388"
"EU506745.1.1392","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 9","D_6__uncultured bacterium","EU506745.1.1392"
"EU506790.1.1400","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Oscillibacter","D_6__uncultured bacterium","EU506790.1.1400"
"EU506905.1.1400","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 9","D_6__uncultured bacterium","EU506905.1.1400"
"EU507576.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","EU507576.1.1388"
"EU509032.1.1388","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Faecalibaculum","D_6__uncultured bacterium","EU509032.1.1388"
"EU509316.1.1400","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 9","D_6__uncultured bacterium","EU509316.1.1400"
"EU509954.1.1400","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Oscillibacter","D_6__uncultured bacterium","EU509954.1.1400"
"EU510752.1.1392","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__[Eubacterium] coprostanoligenes group","D_6__uncultured bacterium","EU510752.1.1392"
"EU510928.1.1400","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 9","D_6__uncultured bacterium","EU510928.1.1400"
"EU511507.1.1388","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Rikenellaceae","D_5__Alistipes","D_6__uncultured bacterium","EU511507.1.1388"
"EU772111.1.1400","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae NK4A214 group","D_6__uncultured bacterium","EU772111.1.1400"
"EU774616.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","EU774616.1.1388"
"EU779051.1.1400","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Oscillospira","D_6__uncultured bacterium","EU779051.1.1400"
"FJ673285.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","FJ673285.1.1388"
"GQ491687.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","GQ491687.1.1388"
"HQ754303.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnoclostridium","D_6__uncultured organism","HQ754303.1.1388"
"JQ448654.1.1388","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pasteurellales","D_4__Pasteurellaceae","D_5__Haemophilus","D_6__uncultured bacterium","JQ448654.1.1388"
"JQ608080.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnoclostridium","D_6__bacterium NLAE-zl-C371","JQ608080.1.1388"
"JX048250.1.1388","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Eisenbergiella","D_6__bacterium NLAE-zl-G267","JX048250.1.1388"
"KF843018.1.1388","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__uncultured bacterium","KF843018.1.1388"
"KU899029.1.1388","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Lactococcus","D_6__Lactococcus lactis","KU899029.1.1388"
"DQ799389.1.1387","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-008","D_6__uncultured bacterium","DQ799389.1.1387"
"DQ801863.1.1387","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Fusicatenibacter","D_6__uncultured bacterium","DQ801863.1.1387"
"DQ804130.1.1387","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnoclostridium","D_6__uncultured bacterium","DQ804130.1.1387"
"DQ807323.1.1387","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","DQ807323.1.1387"
"DQ815799.1.1387","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__uncultured bacterium","D_6__uncultured bacterium","DQ815799.1.1387"
"DQ823680.1.1387","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Fusicatenibacter","D_6__uncultured bacterium","DQ823680.1.1387"
"DQ825113.1.1387","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","D_6__uncultured bacterium","DQ825113.1.1387"
"EF097979.1.1399","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__uncultured","D_6__uncultured bacterium","EF097979.1.1399"
"EF098646.1.1399","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium","D_6__uncultured bacterium","EF098646.1.1399"
"EU457378.1.1387","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","EU457378.1.1387"
"EU469483.1.1387","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Fusicatenibacter","D_6__uncultured bacterium","EU469483.1.1387"
"EU475804.1.1387","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Streptococcus","D_6__uncultured bacterium","EU475804.1.1387"
"EU503541.1.1387","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Oscillibacter","D_6__uncultured bacterium","EU503541.1.1387"
"EU506992.1.1387","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","EU506992.1.1387"
"EU508793.1.1399","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__uncultured","D_6__uncultured bacterium","EU508793.1.1399"
"EU772632.1.1387","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] torques group","D_6__uncultured bacterium","EU772632.1.1387"
"GQ492455.1.1387","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__[Clostridium] innocuum group","D_6__uncultured bacterium","GQ492455.1.1387"
"HQ754460.1.1387","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnoclostridium","Ambiguous_taxa","HQ754460.1.1387"
"JX095024.1.1387","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-005","D_6__uncultured bacterium","JX095024.1.1387"
"AY916351.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__uncultured","D_6__uncultured bacterium","AY916351.1.1386"
"DQ793344.1.1386","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Erysipelotrichaceae UCG-003","D_6__uncultured bacterium","DQ793344.1.1386"
"DQ793521.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcus 1","D_6__uncultured bacterium","DQ793521.1.1386"
"DQ798364.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-008","D_6__uncultured bacterium","DQ798364.1.1386"
"DQ823970.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-008","D_6__uncultured bacterium","DQ823970.1.1386"
"DQ824393.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-008","D_6__uncultured bacterium","DQ824393.1.1386"
"EF096296.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","D_6__uncultured bacterium","EF096296.1.1386"
"EF099887.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcus 1","D_6__uncultured bacterium","EF099887.1.1386"
"EF099902.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Family XIII","D_5__[Eubacterium] brachy group","D_6__uncultured bacterium","EF099902.1.1386"
"EU456166.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-008","D_6__uncultured bacterium","EU456166.1.1386"
"EU459915.1.1386","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__uncultured","D_6__uncultured bacterium","EU459915.1.1386"
"EU466368.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-010","D_6__uncultured bacterium","EU466368.1.1386"
"EU503605.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__uncultured","D_6__uncultured bacterium","EU503605.1.1386"
"EU504037.1.1389","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","EU504037.1.1389"
"EU504296.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","EU504296.1.1386"
"EU504582.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","EU504582.1.1386"
"EU507014.1.1390","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 9","D_6__uncultured bacterium","EU507014.1.1390"
"EU509280.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Family XIII","D_5__[Eubacterium] nodatum group","D_6__uncultured bacterium","EU509280.1.1386"
"EU510922.1.1398","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 9","D_6__uncultured bacterium","EU510922.1.1398"
"EU511246.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__A2","D_6__uncultured bacterium","EU511246.1.1386"
"EU771929.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-008","D_6__uncultured bacterium","EU771929.1.1386"
"EU773308.1.1398","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__uncultured","D_6__uncultured bacterium","EU773308.1.1398"
"EU774446.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-008","D_6__uncultured bacterium","EU774446.1.1386"
"FJ677980.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","D_6__uncultured bacterium","FJ677980.1.1386"
"GQ491246.1.1386","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Faecalitalea","D_6__uncultured bacterium","GQ491246.1.1386"
"GQ493033.1.1386","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Faecalitalea","D_6__uncultured bacterium","GQ493033.1.1386"
"JX095602.1.1386","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__uncultured","D_6__uncultured bacterium","JX095602.1.1386"
"KF841958.1.1386","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__uncultured bacterium","KF841958.1.1386"
"DQ793887.1.1385","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__uncultured","D_6__uncultured bacterium","DQ793887.1.1385"
"DQ794284.1.1397","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcus 1","D_6__uncultured bacterium","DQ794284.1.1397"
"DQ796929.1.1385","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-008","D_6__uncultured bacterium","DQ796929.1.1385"
"DQ803382.1.1385","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Fusicatenibacter","D_6__uncultured bacterium","DQ803382.1.1385"
"DQ805311.1.1385","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] torques group","D_6__uncultured bacterium","DQ805311.1.1385"
"DQ809047.1.1385","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-008","D_6__uncultured bacterium","DQ809047.1.1385"
"EU453630.1.1385","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","EU453630.1.1385"
"EU461609.1.1385","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-004","D_6__uncultured bacterium","EU461609.1.1385"
"EU469473.1.1385","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] gauvreauii group","D_6__uncultured bacterium","EU469473.1.1385"
"EU503668.1.1385","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Faecalibaculum","D_6__uncultured bacterium","EU503668.1.1385"
"EU504349.1.1398","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__uncultured","D_6__uncultured bacterium","EU504349.1.1398"
"EU505627.1.1385","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae UCG-008","D_6__uncultured bacterium","EU505627.1.1385"
"EU506781.1.1385","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Faecalibaculum","D_6__uncultured bacterium","EU506781.1.1385"
"EU507320.1.1397","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 9","D_6__uncultured bacterium","EU507320.1.1397"
"EU507363.1.1385","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnoclostridium","D_6__uncultured bacterium","EU507363.1.1385"
"EU507373.1.1385","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Blautia","D_6__uncultured bacterium","EU507373.1.1385"
